seqid,start,end,strand,gene_name
NZ_LR881938.1,47246,47776,+,kefF
NZ_LR881938.1,47769,49631,+,kefC
NZ_LR881938.1,49823,50302,+,folA
NZ_LR881938.1,50380,51222,-,apaH
NZ_LR881938.1,51229,51606,-,apaG
NZ_LR881938.1,51609,52430,-,rsmA
NZ_LR881938.1,52427,53416,-,pdxA
NZ_LR881938.1,53416,54702,-,surA
NZ_LR881938.1,54755,57109,-,lptD
NZ_LR881938.1,57364,58179,+,djlA
NZ_LR881938.1,58474,59124,+,yabP
NZ_LR881938.1,59121,59279,+,yabQ
NZ_LR881938.1,59687,60346,-,rluA
NZ_LR881938.1,60358,63264,-,rapA
NZ_LR881938.1,63429,65780,-,polB
NZ_LR881938.1,65855,66550,-,araD
NZ_LR881938.1,66835,68337,-,araA
NZ_LR881938.1,68348,70048,-,araB
NZ_LR881938.1,70387,71265,+,araC
NZ_LR881938.1,71351,72115,+,yabI
NZ_LR881938.1,72229,72927,-,thiQ
NZ_LR881938.1,72911,74521,-,thiP
NZ_LR881938.1,74497,75480,-,thiB
NZ_LR881938.1,75644,77299,-,sgrR
NZ_LR881938.1,77388,77519,+,sgrT
NZ_LR881938.1,77621,78799,+,setA
NZ_LR881938.1,78848,79453,-,leuD
NZ_LR881938.1,79464,80864,-,leuC
NZ_LR881938.1,80867,81958,-,leuB
NZ_LR881938.1,81958,83529,-,leuA
NZ_LR881938.1,83622,83708,-,leuL
NZ_LR881938.1,84368,85312,+,leuO
NZ_LR881938.1,85467,85511,-,IEU92_RS00385
NZ_LR881938.1,85630,87354,+,ilvI
NZ_LR881938.1,87357,87848,+,ilvN
NZ_LR881938.1,87860,87946,+,IEU92_RS00400
NZ_LR881938.1,88028,89032,+,cra
NZ_LR881938.1,89634,90092,+,mraZ
NZ_LR881938.1,90094,91035,+,rsmH
NZ_LR881938.1,91032,91397,+,ftsL
NZ_LR881938.1,91413,93179,+,ftsI
NZ_LR881938.1,93166,94653,+,murE
NZ_LR881938.1,94650,96008,+,murF
NZ_LR881938.1,96002,97084,+,mraY
NZ_LR881938.1,97087,98403,+,murD
NZ_LR881938.1,98403,99647,+,ftsW
NZ_LR881938.1,99644,100711,+,murG
NZ_LR881938.1,100765,102240,+,murC
NZ_LR881938.1,102233,103153,+,ddlB
NZ_LR881938.1,103155,103985,+,ftsQ
NZ_LR881938.1,103982,105244,+,ftsA
NZ_LR881938.1,105305,106456,+,ftsZ
NZ_LR881938.1,106557,107474,+,lpxC
NZ_LR881938.1,107705,108217,+,secM
NZ_LR881938.1,108279,110984,+,secA
NZ_LR881938.1,111044,111433,+,mutT
NZ_LR881938.1,111649,111846,-,yacG
NZ_LR881938.1,111856,112599,-,zapD
NZ_LR881938.1,112599,113219,-,coaE
NZ_LR881938.1,113244,113288,+,IEU92_RS00520
NZ_LR881938.1,113444,114487,+,guaC
NZ_LR881938.1,114522,115724,-,hofC
NZ_LR881938.1,115714,117099,-,gspE
NZ_LR881938.1,117109,117549,-,ppdD
NZ_LR881938.1,117752,118645,-,nadC
NZ_LR881938.1,118733,119284,+,ampD
NZ_LR881938.1,119281,120135,+,ampE
NZ_LR881938.1,120178,121551,-,aroP
NZ_LR881938.1,122092,122856,+,pdhR
NZ_LR881938.1,123017,125680,+,aceE
NZ_LR881938.1,125695,127587,+,aceF
NZ_LR881938.1,127912,129336,+,lpdA
NZ_LR881938.1,129407,131260,-,yacH
NZ_LR881938.1,131615,134212,+,acnB
NZ_LR881938.1,134388,134750,+,yacL
NZ_LR881938.1,134788,135582,-,speD
NZ_LR881938.1,135598,136464,-,speE
NZ_LR881938.1,136570,136917,-,yacC
NZ_LR881938.1,137083,138633,+,cueO
NZ_LR881938.1,138835,141225,-,gcd
NZ_LR881938.1,141431,141967,+,hpt
NZ_LR881938.1,142008,142670,-,can
NZ_LR881938.1,142779,143705,+,yadG
NZ_LR881938.1,143702,144472,+,yadH
NZ_LR881938.1,144577,145017,+,yadI
NZ_LR881938.1,145081,146310,+,yadE
NZ_LR881938.1,146314,146694,-,panD
NZ_LR881938.1,146968,147870,+,rpnC
NZ_LR881938.1,147944,148795,-,panC
NZ_LR881938.1,148807,149601,-,panB
NZ_LR881938.1,149715,150965,-,yadC
NZ_LR881938.1,151003,151599,-,yadK
NZ_LR881938.1,151626,152231,-,yadL
NZ_LR881938.1,152243,152812,-,yadM
NZ_LR881938.1,152829,155426,-,htrE
NZ_LR881938.1,155461,156201,-,yadV
NZ_LR881938.1,156299,156883,-,yadN
NZ_LR881938.1,157253,157732,-,folK
NZ_LR881938.1,157729,159126,-,pcnB
NZ_LR881938.1,159186,160082,-,gluQRS
NZ_LR881938.1,160149,160604,-,dksA
NZ_LR881938.1,160782,161486,-,sfsA
NZ_LR881938.1,161501,162031,-,thpR
NZ_LR881938.1,162105,164534,+,hrpB
NZ_LR881938.1,164730,167264,+,mrcB
NZ_LR881938.1,167484,169727,+,fhuA
NZ_LR881938.1,169778,170575,+,fhuC
NZ_LR881938.1,170575,171465,+,fhuD
NZ_LR881938.1,171462,173444,+,fhuB
NZ_LR881938.1,173602,174882,-,hemL
NZ_LR881938.1,175048,175095,+,yadX
NZ_LR881938.1,175107,176528,+,clcA
NZ_LR881938.1,176552,176617,+,yadW
NZ_LR881938.1,176610,176954,+,erpA
NZ_LR881938.1,177001,177624,-,yadS
NZ_LR881938.1,177662,178462,-,btuF
NZ_LR881938.1,178455,179153,-,mtnN
NZ_LR881938.1,179237,180754,+,dgt
NZ_LR881938.1,180884,182308,+,degP
NZ_LR881938.1,182463,183620,+,cdaR
NZ_LR881938.1,183709,184095,-,yaeH
NZ_LR881938.1,184257,185069,-,yaeI
NZ_LR881938.1,185123,185947,-,dapD
NZ_LR881938.1,185978,188650,-,glnD
NZ_LR881938.1,188712,189506,-,map
NZ_LR881938.1,189874,190599,+,rpsB
NZ_LR881938.1,190857,191708,+,tsf
NZ_LR881938.1,191855,192580,+,pyrH
NZ_LR881938.1,192872,193429,+,frr
NZ_LR881938.1,193521,194717,+,ispC
NZ_LR881938.1,194906,195664,+,ispU
NZ_LR881938.1,195677,196534,+,cdsA
NZ_LR881938.1,196546,197898,+,rseP
NZ_LR881938.1,197928,200360,+,bamA
NZ_LR881938.1,200482,200967,+,skp
NZ_LR881938.1,200971,201996,+,lpxD
NZ_LR881938.1,202101,202556,+,fabZ
NZ_LR881938.1,202560,203348,+,lpxA
NZ_LR881938.1,203348,204496,+,lpxB
NZ_LR881938.1,204493,205089,+,rnhB
NZ_LR881938.1,205126,208608,+,dnaE
NZ_LR881938.1,208621,209580,+,accA
NZ_LR881938.1,209679,211820,+,ldcC
NZ_LR881938.1,211877,212266,+,yaeR
NZ_LR881938.1,212331,213629,+,tilS
NZ_LR881938.1,213678,213938,-,rof
NZ_LR881938.1,213925,214125,-,yaeP
NZ_LR881938.1,214291,214836,+,yaeQ
NZ_LR881938.1,214833,215255,+,arfB
NZ_LR881938.1,215269,215979,+,nlpE
NZ_LR881938.1,216179,217003,-,yaeF
NZ_LR881938.1,217057,218775,-,proS
NZ_LR881938.1,218887,219594,-,tsaA
NZ_LR881938.1,219591,219995,-,rcsF
NZ_LR881938.1,220113,220928,-,metQ
NZ_LR881938.1,220968,221621,-,metI
NZ_LR881938.1,221614,222645,-,metN
NZ_LR881938.1,222833,223408,+,gmhB
NZ_LR881938.1,223771,225312,+,IEU92_RS01010
NZ_LR881938.1,225381,225457,+,IEU92_RS01015
NZ_LR881938.1,225500,225575,+,IEU92_RS01020
NZ_LR881938.1,225759,228662,+,IEU92_RS01025
NZ_LR881938.1,228758,228873,+,rrf
NZ_LR881938.1,228928,229004,+,IEU92_RS01035
NZ_LR881938.1,229167,229970,+,dkgB
NZ_LR881938.1,229967,230881,-,yafC
NZ_LR881938.1,231122,231922,+,yafD
NZ_LR881938.1,231926,232549,+,yafE
NZ_LR881938.1,232597,233955,-,mltD
NZ_LR881938.1,234027,234782,-,gloB
NZ_LR881938.1,234816,235538,+,yafS
NZ_LR881938.1,235535,236002,-,rnhA
NZ_LR881938.1,236067,236798,+,dnaQ
NZ_LR881938.1,236931,237007,+,IEU92_RS01085
NZ_LR881938.1,237335,238120,+,IEU92_RS01090
NZ_LR881938.1,238257,238736,-,ykfM
NZ_LR881938.1,239419,240189,-,yafV
NZ_LR881938.1,240370,240816,+,ivy
NZ_LR881938.1,240859,243303,-,fadE
NZ_LR881938.1,243543,244121,+,lpcA
NZ_LR881938.1,244327,245094,+,yafJ
NZ_LR881938.1,245065,245805,-,dpaA
NZ_LR881938.1,245961,246239,-,yafQ
NZ_LR881938.1,246242,246502,-,dinJ
NZ_LR881938.1,246712,247461,+,yafL
NZ_LR881938.1,247637,248134,+,rayT
NZ_LR881938.1,250042,250827,+,lafU
NZ_LR881938.1,250898,251953,+,dinB
NZ_LR881938.1,252005,252298,+,yafN
NZ_LR881938.1,252301,252699,+,yafO
NZ_LR881938.1,252709,253161,+,yafP
NZ_LR881938.1,254259,255716,-,pepD
NZ_LR881938.1,255977,256435,+,gpt
NZ_LR881938.1,256527,257771,+,frsA
NZ_LR881938.1,257829,258230,+,crl
NZ_LR881938.1,258269,259324,-,phoE
NZ_LR881938.1,259612,260715,+,proB
NZ_LR881938.1,260727,261980,+,proA
NZ_LR881938.1,262095,262170,+,IEU92_RS01235
NZ_LR881938.1,262552,262893,-,ykfI
NZ_LR881938.1,262914,263231,-,yafW
NZ_LR881938.1,263250,263471,-,ykfH
NZ_LR881938.1,263480,263956,-,ykfG
NZ_LR881938.1,263972,264430,-,yafX
NZ_LR881938.1,264528,264767,-,ykfF
NZ_LR881938.1,264844,265311,-,ykfB
NZ_LR881938.1,265334,265777,-,yafY
NZ_LR881938.1,265777,266016,-,ypjK
NZ_LR881938.1,266408,267229,-,yafZ
NZ_LR881938.1,267321,268184,-,ykfA
NZ_LR881938.1,268513,269406,-,perR
NZ_LR881938.1,269827,270978,+,IEU92_RS01310
NZ_LR881938.1,273325,274305,-,IEU92_RS01325
NZ_LR881938.1,274549,275952,+,mmuP
NZ_LR881938.1,275939,276871,+,mmuM
NZ_LR881938.1,276980,278026,-,fbpC
NZ_LR881938.1,278402,279099,-,IEU92_RS01350
NZ_LR881938.1,279609,279959,-,yagB
NZ_LR881938.1,280053,281195,-,IEU92_RS01370
NZ_LR881938.1,281502,282410,+,yagE
NZ_LR881938.1,282425,284392,+,yagF
NZ_LR881938.1,284619,286001,+,yagG
NZ_LR881938.1,286013,287623,+,yagH
NZ_LR881938.1,287628,288386,-,xynR
NZ_LR881938.1,288525,289529,-,argF
NZ_LR881938.1,289499,289594,-,argL
NZ_LR881938.1,289873,290570,-,IEU92_RS01410
NZ_LR881938.1,290724,291455,+,yagJ
NZ_LR881938.1,291546,292172,-,yagK
NZ_LR881938.1,292444,293142,-,yagL
NZ_LR881938.1,293169,294023,-,yagM
NZ_LR881938.1,294142,294366,-,ykgV
NZ_LR881938.1,294363,294803,-,yagN
NZ_LR881938.1,294920,296320,-,intF
NZ_LR881938.1,296994,297950,-,paoD
NZ_LR881938.1,297960,300158,-,paoC
NZ_LR881938.1,300155,301111,-,paoB
NZ_LR881938.1,301108,301797,-,paoA
NZ_LR881938.1,302215,302829,+,yagU
NZ_LR881938.1,303077,303406,-,ykgJ
NZ_LR881938.1,303719,304429,-,ecpE
NZ_LR881938.1,304398,306041,-,ecpD
NZ_LR881938.1,306031,308556,-,ecpC
NZ_LR881938.1,308582,309250,-,ecpB
NZ_LR881938.1,309308,309895,-,ecpA
NZ_LR881938.1,309970,310512,-,ecpR
NZ_LR881938.1,311336,311563,+,ykgL
NZ_LR881938.1,311598,311738,-,ykgO
NZ_LR881938.1,311738,312001,-,ykgM
NZ_LR881938.1,312365,312466,-,ykgR
NZ_LR881938.1,314515,315677,+,IEU92_RS01540
NZ_LR881938.1,316950,317543,-,rclC
NZ_LR881938.1,317555,317791,-,rclB
NZ_LR881938.1,317900,319225,-,rclA
NZ_LR881938.1,319451,320305,+,rclR
NZ_LR881938.1,320832,321551,+,ykgE
NZ_LR881938.1,321562,322989,+,ykgF
NZ_LR881938.1,322982,323677,+,ykgG
NZ_LR881938.1,323920,324588,-,ykgH
NZ_LR881938.1,324801,326471,-,betA
NZ_LR881938.1,326485,327957,-,betB
NZ_LR881938.1,327971,328558,-,betI
NZ_LR881938.1,328687,330720,+,betT
NZ_LR881938.1,331026,331100,+,IEU92_RS01615
NZ_LR881938.1,331595,332683,+,pdeL
NZ_LR881938.1,332725,333657,-,yahB
NZ_LR881938.1,333749,334246,-,yahC
NZ_LR881938.1,334504,335109,+,yahD
NZ_LR881938.1,335149,336012,+,yahE
NZ_LR881938.1,336002,337549,+,fdrA
NZ_LR881938.1,337549,338967,+,yahG
NZ_LR881938.1,339017,339313,+,yahH
NZ_LR881938.1,339389,340339,+,yahI
NZ_LR881938.1,340349,341731,+,yahJ
NZ_LR881938.1,342108,343157,+,yahK
NZ_LR881938.1,343400,344215,+,yahL
NZ_LR881938.1,344628,344873,+,yahM
NZ_LR881938.1,344890,345561,-,yahN
NZ_LR881938.1,345708,345983,+,yahO
NZ_LR881938.1,346081,347667,-,prpR
NZ_LR881938.1,347906,348796,+,prpB
NZ_LR881938.1,349236,350405,+,prpC
NZ_LR881938.1,350439,351890,+,prpD
NZ_LR881938.1,351930,353816,+,prpE
NZ_LR881938.1,354146,355405,+,codB
NZ_LR881938.1,355395,356678,+,codA
NZ_LR881938.1,357015,357914,-,cynR
NZ_LR881938.1,358023,358682,+,cynT
NZ_LR881938.1,358713,359183,+,cynS
NZ_LR881938.1,359189,360370,+,cynX
NZ_LR881938.1,360473,361084,-,lacA
NZ_LR881938.1,361150,362403,-,lacY
NZ_LR881938.1,362455,365529,-,lacZ
NZ_LR881938.1,365652,366734,-,lacI
NZ_LR881938.1,366811,367644,-,mhpR
NZ_LR881938.1,367835,369499,+,mhpA
NZ_LR881938.1,369501,370445,+,mhpB
NZ_LR881938.1,370463,371329,+,mhpC
NZ_LR881938.1,371339,372148,+,mhpD
NZ_LR881938.1,372145,373095,+,mhpF
NZ_LR881938.1,373092,374105,+,mhpE
NZ_LR881938.1,374683,375894,+,mhpT
NZ_LR881938.1,375996,376535,+,yaiL
NZ_LR881938.1,376759,377592,-,fghA
NZ_LR881938.1,377686,378795,-,frmA
NZ_LR881938.1,378830,379105,-,frmR
NZ_LR881938.1,379293,380066,-,yaiO
NZ_LR881938.1,380068,380511,-,IEU92_RS01835
NZ_LR881938.1,380575,381803,+,IEU92_RS01840
NZ_LR881938.1,381963,383159,-,yaiP
NZ_LR881938.1,383184,383303,+,IEU92_RS22700
NZ_LR881938.1,383283,383840,-,yaiS
NZ_LR881938.1,384456,385418,+,tauA
NZ_LR881938.1,385431,386198,+,tauB
NZ_LR881938.1,386195,387022,+,tauC
NZ_LR881938.1,387019,387870,+,tauD
NZ_LR881938.1,387977,388951,-,hemB
NZ_LR881938.1,390963,392125,-,IEU92_RS01890
NZ_LR881938.1,393730,394353,+,iprA
NZ_LR881938.1,394354,395511,-,ampH
NZ_LR881938.1,395863,397083,+,sbmA
NZ_LR881938.1,397096,398190,+,yaiW
NZ_LR881938.1,398249,398557,-,yaiY
NZ_LR881938.1,398817,399029,+,yaiZ
NZ_LR881938.1,399053,400147,-,ddlA
NZ_LR881938.1,400225,400428,+,IEU92_RS01935
NZ_LR881938.1,400610,400870,+,iraP
NZ_LR881938.1,400971,402386,+,phoA
NZ_LR881938.1,402505,402825,+,psiF
NZ_LR881938.1,402927,404042,+,adrA
NZ_LR881938.1,404059,404868,-,proC
NZ_LR881938.1,404988,405446,+,yaiI
NZ_LR881938.1,405629,406153,+,aroL
NZ_LR881938.1,406203,406394,+,yaiA
NZ_LR881938.1,406652,407329,+,aroM
NZ_LR881938.1,407401,407685,+,ppnP
NZ_LR881938.1,408171,408254,+,IEU92_RS01995
NZ_LR881938.1,408332,409243,-,rdgC
NZ_LR881938.1,409368,410276,+,mak
NZ_LR881938.1,410521,411705,-,araJ
NZ_LR881938.1,411831,414977,-,sbcC
NZ_LR881938.1,414974,416176,-,sbcD
NZ_LR881938.1,416366,417055,+,phoB
NZ_LR881938.1,417113,418408,+,phoR
NZ_LR881938.1,418815,420134,+,brnQ
NZ_LR881938.1,420210,421583,+,proY
NZ_LR881938.1,421739,423556,+,malZ
NZ_LR881938.1,423561,424142,-,acpH
NZ_LR881938.1,424235,425305,+,queA
NZ_LR881938.1,425361,426488,+,tgt
NZ_LR881938.1,426511,426843,+,yajC
NZ_LR881938.1,426871,428718,+,secD
NZ_LR881938.1,428729,429700,+,secF
NZ_LR881938.1,429829,430176,+,yajD
NZ_LR881938.1,430353,431237,-,tsx
NZ_LR881938.1,431536,432075,-,yajI
NZ_LR881938.1,432226,432675,+,nrdR
NZ_LR881938.1,432679,433782,+,ribD
NZ_LR881938.1,433871,434341,+,ribH
NZ_LR881938.1,434361,434780,+,nusB
NZ_LR881938.1,434858,435835,+,thiL
NZ_LR881938.1,435813,436331,+,pgpA
NZ_LR881938.1,436385,437359,-,yajO
NZ_LR881938.1,437539,439401,-,dxs
NZ_LR881938.1,439426,440325,-,ispA
NZ_LR881938.1,440325,440567,-,xseB
NZ_LR881938.1,440773,442221,+,thiI
NZ_LR881938.1,442275,442865,-,yajL
NZ_LR881938.1,442828,443739,-,panE
NZ_LR881938.1,443907,444398,+,yajQ
NZ_LR881938.1,444526,445890,-,yajR
NZ_LR881938.1,446039,446929,-,cyoE
NZ_LR881938.1,446941,447270,-,cyoD
NZ_LR881938.1,447270,447884,-,cyoC
NZ_LR881938.1,447874,449865,-,cyoB
NZ_LR881938.1,449887,450834,-,cyoA
NZ_LR881938.1,451294,452769,-,ampG
NZ_LR881938.1,452813,453391,-,yajG
NZ_LR881938.1,453696,454013,+,bolA
NZ_LR881938.1,454357,455655,+,tig
NZ_LR881938.1,455901,456524,+,clpP
NZ_LR881938.1,456650,457924,+,clpX
NZ_LR881938.1,458112,460466,+,lon
NZ_LR881938.1,460657,460947,+,hupB
NZ_LR881938.1,461139,463010,+,ppiD
NZ_LR881938.1,463161,463532,+,ybaV
NZ_LR881938.1,463626,464024,+,fadM
NZ_LR881938.1,464076,464771,-,queC
NZ_LR881938.1,464836,466536,-,ybaE
NZ_LR881938.1,466636,467454,+,cof
NZ_LR881938.1,467607,468065,+,decR
NZ_LR881938.1,468095,469867,+,mdlA
NZ_LR881938.1,469860,471641,+,mdlB
NZ_LR881938.1,471822,472160,+,glnK
NZ_LR881938.1,472190,473476,+,amtB
NZ_LR881938.1,473525,474385,-,tesB
NZ_LR881938.1,474603,475175,+,ybaY
NZ_LR881938.1,475206,475517,-,IEU92_RS02300
NZ_LR881938.1,475680,475776,+,ffs
NZ_LR881938.1,475896,476249,+,ybaA
NZ_LR881938.1,476291,477841,-,pdeB
NZ_LR881938.1,478005,478475,-,ylaC
NZ_LR881938.1,478591,479142,-,maa
NZ_LR881938.1,479314,479532,-,hha
NZ_LR881938.1,479558,479932,-,tomB
NZ_LR881938.1,480478,483627,-,acrB
NZ_LR881938.1,483650,484843,-,acrA
NZ_LR881938.1,484985,485632,+,acrR
NZ_LR881938.1,485760,489122,+,mscK
NZ_LR881938.1,489334,489495,-,rsmS
NZ_LR881938.1,489509,490036,-,priC
NZ_LR881938.1,490106,490483,+,ybaN
NZ_LR881938.1,490636,491187,+,apt
NZ_LR881938.1,491316,493247,+,dnaX
NZ_LR881938.1,493300,493629,+,ybaB
NZ_LR881938.1,493629,494234,+,recR
NZ_LR881938.1,494344,496218,+,htpG
NZ_LR881938.1,496399,497043,+,adk
NZ_LR881938.1,497279,498241,+,hemH
NZ_LR881938.1,498238,499197,-,aes
NZ_LR881938.1,499349,500653,+,gsk
NZ_LR881938.1,500786,502462,-,ybaL
NZ_LR881938.1,502700,503920,-,fsr
NZ_LR881938.1,504138,505790,+,ushA
NZ_LR881938.1,505827,506306,-,ybaK
NZ_LR881938.1,506510,507304,-,ybaP
NZ_LR881938.1,507442,507783,+,ybaQ
NZ_LR881938.1,508099,510603,-,copA
NZ_LR881938.1,510865,511797,+,glsA
NZ_LR881938.1,511800,513092,+,ybaT
NZ_LR881938.1,513217,513624,+,cueR
NZ_LR881938.1,513625,514083,-,ybbJ
NZ_LR881938.1,514080,514997,-,qmcA
NZ_LR881938.1,515143,515820,+,fetA
NZ_LR881938.1,515807,516586,+,fetB
NZ_LR881938.1,516649,517503,-,cnoX
NZ_LR881938.1,517564,518373,-,ybbO
NZ_LR881938.1,518363,518986,-,tesA
NZ_LR881938.1,518957,519643,+,ybbA
NZ_LR881938.1,519640,522054,+,ybbP
NZ_LR881938.1,522485,526765,+,rhsD
NZ_LR881938.1,526805,527173,+,ybbC
NZ_LR881938.1,527864,528124,+,IEU92_RS02530
NZ_LR881938.1,528181,528354,+,IEU92_RS02535
NZ_LR881938.1,529356,530450,-,mnmH
NZ_LR881938.1,530519,531445,-,allS
NZ_LR881938.1,531675,532157,+,allA
NZ_LR881938.1,532235,533050,+,allR
NZ_LR881938.1,533140,534921,+,gcl
NZ_LR881938.1,534934,535710,+,hyi
NZ_LR881938.1,535810,536688,+,glxR
NZ_LR881938.1,536857,538311,+,allW
NZ_LR881938.1,538371,539732,+,allB
NZ_LR881938.1,539789,541090,+,ybbY
NZ_LR881938.1,541112,542257,+,glxK
NZ_LR881938.1,542485,543270,-,allE
NZ_LR881938.1,543281,544516,-,allC
NZ_LR881938.1,544538,545587,-,allD
NZ_LR881938.1,545904,547571,+,fdrA
NZ_LR881938.1,547581,548840,+,ylbE
NZ_LR881938.1,548851,549666,+,ylbF
NZ_LR881938.1,549663,550556,+,ybcF
NZ_LR881938.1,550751,551818,-,purK
NZ_LR881938.1,551815,552324,-,purE
NZ_LR881938.1,552442,553164,-,lpxH
NZ_LR881938.1,553167,553661,-,ppiB
NZ_LR881938.1,553835,555220,+,cysS
NZ_LR881938.1,555256,555777,-,ybcI
NZ_LR881938.1,555885,556097,-,ybcJ
NZ_LR881938.1,556099,556965,-,folD
NZ_LR881938.1,557436,557978,+,fimA
NZ_LR881938.1,558198,558890,+,fimC
NZ_LR881938.1,558921,561524,+,sfmD
NZ_LR881938.1,561566,562543,+,fimH
NZ_LR881938.1,562554,563069,+,sfmF
NZ_LR881938.1,563072,563704,-,fimZ
NZ_LR881938.1,563947,564023,+,IEU92_RS02705
NZ_LR881938.1,564039,565202,-,intD
NZ_LR881938.1,566066,567228,+,IEU92_RS02730
NZ_LR881938.1,567539,567871,+,emrE
NZ_LR881938.1,567919,568068,+,ylcJ
NZ_LR881938.1,568126,569652,+,ybcK
NZ_LR881938.1,570117,570668,+,ybcL
NZ_LR881938.1,570678,571475,+,ybcM
NZ_LR881938.1,571592,571693,+,IEU92_RS02765
NZ_LR881938.1,571690,572145,+,ybcN
NZ_LR881938.1,572145,572315,+,ninE
NZ_LR881938.1,572308,572598,+,ybcO
NZ_LR881938.1,572595,572957,+,rusA
NZ_LR881938.1,572954,573094,+,ylcG
NZ_LR881938.1,573180,573563,+,quuD
NZ_LR881938.1,573961,574941,-,IEU92_RS02800
NZ_LR881938.1,574982,576049,-,IEU92_RS02805
NZ_LR881938.1,576622,576837,+,essD
NZ_LR881938.1,576837,577334,+,rrrD
NZ_LR881938.1,577331,577792,+,rzpD
NZ_LR881938.1,577824,578117,-,bor
NZ_LR881938.1,578408,578818,-,ybcV
NZ_LR881938.1,579104,579310,+,ybcW
NZ_LR881938.1,579475,579669,-,ylcI
NZ_LR881938.1,580058,580603,+,nohD
NZ_LR881938.1,581294,581431,+,IEU92_RS22665
NZ_LR881938.1,582905,583654,+,appY
NZ_LR881938.1,583904,584857,-,ompT
NZ_LR881938.1,585371,586132,-,envY
NZ_LR881938.1,586315,587205,-,ybcH
NZ_LR881938.1,587206,590178,-,nfrA
NZ_LR881938.1,590165,592402,-,nrfB
NZ_LR881938.1,592552,593994,-,cusS
NZ_LR881938.1,593984,594667,-,cusR
NZ_LR881938.1,594824,596197,+,cusC
NZ_LR881938.1,596355,596687,+,cusF
NZ_LR881938.1,596703,597926,+,cusB
NZ_LR881938.1,597938,601081,+,cusA
NZ_LR881938.1,601183,602559,+,pheP
NZ_LR881938.1,602640,603887,-,ybdG
NZ_LR881938.1,603995,604648,-,nfsB
NZ_LR881938.1,604742,605110,-,ybdF
NZ_LR881938.1,605175,605423,-,ybdJ
NZ_LR881938.1,605489,606607,-,ybdK
NZ_LR881938.1,607060,607212,+,hokE
NZ_LR881938.1,607289,608401,+,IEU92_RS02965
NZ_LR881938.1,608683,609303,-,entD
NZ_LR881938.1,609478,611718,-,fepA
NZ_LR881938.1,611961,613163,+,fes
NZ_LR881938.1,613166,613384,+,ybdZ
NZ_LR881938.1,613381,617262,+,entF
NZ_LR881938.1,617478,618611,+,wzz(fepE)
NZ_LR881938.1,618608,619423,-,fepC
NZ_LR881938.1,619420,620412,-,fepG
NZ_LR881938.1,620409,621413,-,fepD
NZ_LR881938.1,621524,622774,+,entS
NZ_LR881938.1,622778,623734,-,fepB
NZ_LR881938.1,624109,625284,+,entC
NZ_LR881938.1,625294,626904,+,entE
NZ_LR881938.1,626918,627775,+,entB
NZ_LR881938.1,627775,628521,+,entA
NZ_LR881938.1,628524,628937,+,entH
NZ_LR881938.1,629118,631223,+,cstA
NZ_LR881938.1,631406,631603,+,ybdD
NZ_LR881938.1,631613,632701,-,hcxA
NZ_LR881938.1,632810,633970,+,ybdL
NZ_LR881938.1,633971,634600,-,ybdM
NZ_LR881938.1,634573,635793,-,ybdN
NZ_LR881938.1,635940,636842,-,citR
NZ_LR881938.1,637051,637797,-,dsbG
NZ_LR881938.1,638169,638732,+,ahpC
NZ_LR881938.1,638977,640542,+,ahpF
NZ_LR881938.1,640663,641091,-,uspG
NZ_LR881938.1,641312,642550,+,ybdR
